                                                                                                                         Table 22
                                 U. S. Department of Interior - Bureau of Reclamation
                                         Central Valley Operations Office

                                                 Friant-Kern Canal
                                                         2006
Monthly Deliveries in AF

Water User                   Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec   Total

Alpaugh ID                   1517     727     873       0    3136    3277    2569    5243     402       0       0       0   17744
Arvin-Edison WSD            16066   24608   21289   22345   24019   24782   21097   13293    6492     228    1875    2390  178484
Atwell Island WD                0       0       0       0       0       0       0       0       0       0       0       0       0
City of Bakersfiled             0       0       0   64543       0       0       0       0       0       0       0       0   64543
Corcoran ID                     0       0       0       0       0       0       0       0       0       0       0       0       0
Delano-Earlimart ID           582    2735    1630    1874   17705   26812   28699   19972   11714    5519    3108     925  121275
Exeter ID                       0       0      12       4     995    2726    3019    3073    2399    1396     607     183   14414
Frasinetto Farms (Frmly S      16      32       0       5     115     119      91      54      34      17       0       0     483
City of Fresno                  0     119       0       0       0       0   30234   19521    4709    3201     435     710   58929
County of Fresno SA #34         3       9       4       5      61      99      91      89      66      35      20       7     489
Fresno ID                       0       2       0       0      92     189     209      39    2559    4409      35       8    7542
Garfield WD                     0      90       3      19     321     421     535     471     331      49      86       0    2326
Hills Valley ID                 4       4       0      20     499     803     957     937     789     408     289      58    4768
International WD               84      65       5       0      88     259     294     290     246     102       0       0    1433
Ivanhoe ID                      0       0       0       0     941    1808    2266    2248    2257    1208     829      47   11604
Kaweah Delta WCD             2796       0    3062     207     207       0       0       0       0       0       0       0    6272
Kern County Water Agency    25475       0    8306    8187     768       0       0       0       0       0       0       0   42736
Kern-Delta                   1485       0     150     194       0       0       0       0       0       0       0       0    1829
Kern-Tulare WD                244     580     492     506    2840    4443    4814    4385    3474    1748     807     513   24846
Kings County WD                 0       0       0       0       0       0       0       0       0       0       0       0       0
Kings River CD                  0       0       0       0       0       0       0       0       0       0       0       0       0
Lakeside WD                     0       0       0       0       0       0       0       0       0       0       0       0       0
Lewis Creek WD                  0       0       0       0       3     136     261     107     158      97      16       0     778
Lindmore ID                     0       0     235     144    4144    8013    9405    8791    6036    3276    1683       0   41727
City of Lindsay                 0       0      59      63     170     233     231     225     220     219     181     116    1717
Lindsay-Strathmore ID          37       0       0       0       0     979    4262    4036    3519    2175    1524     494   17026
Wutchumna (LSID non-proje       0       0     109     162    2133    2903       0       0       0       0       0       0    5307
Lower Tule River ID          7895   22611   11250    4072   11964   32623   45756   41422   21155       0     698    1941  201387
North-Kern  WSD                 0       0    3535    9777    8677     286       0       0    5093   14345    6940   10370   59023
City of Orange Cove           108     105     120     138     200     252     277     269     219     167     130     104    2089
Orange Cove ID                 29     115      20      70    2523    5484    6414    5840    4365    2730    1834     581   30005
Pixley ID                    3013    4144    3078      15    5978   11381   15044   10812    7544       0       0       0   61009
Porterville ID                 36     308     729     685    2499    2455    3604    1879     989     282      37       0   13503
Rag Gulch WD                    0     169     308     180    1479    2042    1845    1841    1409     428     170      59    9930
Rosedale Rio Bravo WSD          0       0       0       0       0       0       0       0       0       0       0       0       0
Saucelito ID                  420    1145     749    1138    7273    9085    9956    7758    4412    1859     758     166   44719
Semitropic WSD                  0       0       0       0       0       0       0       0       0       0       0     883     883
Shafter Wasco ID              774    6217    2027    3229   10906   13043   12958    8330    5121    3304    2282    1512   69703
Southern San Joaquin MUD      406    5917    3148    2980   16513   23638   24811   18813   11452    5041    3696    1736  118151
Stone Corral ID                 6      22      21       0     768    1401    1697    1620     115     629     471     218    6968
Strathmore PUD                 22      20      24      25      40      57      66      60      46      37      27      22     446
Styro Tek, Inc.                 0       0       1       0       1       0       1       1       0       0       0       0       4
Tea Pot Dome WD                 0       0       0      27     531    1157    1295    1312    1034     575     365      83    6379
Terra Bella ID                765     962     737     490    2085    3252    4058    3528    2989    1580     965     327   21738
Tri-Valley WD                   0       0       0       0      30     145     175     229     190     104      39       7     919
Tulare ID                    9596   27015   13454     273       0    8208   30090   37019    9642       0       0       0  135297
Tulare Lake Basin WSD           0       0       0       0       0       0       0       0       0       0       0       0       0

Total                       71379   97721   75430  121377  129704  192511  267081  223507  121180   55168   29907   23460 1408425

*  Data supplied by Fresno Field Division, Contracts Administration Division
