                                                                                                                    Table 22
                                            U.S. Department of Interior - Bureau of Reclamation
                                                   Central Valley Operations Office
 
                                                          Friant-Kern Canal
                                                              1999
Monthly Deliveries in AF
 
      Water User         Jan    Feb    Mar    Apr    May     Jun     Jul     Aug     Sep     Oct     Nov     Dec     Total
 
Alpaugh ID                  0      0      0      0       0       0       0       0       0       0       0       0         0
Arvin-Edison WSD         7632  12558   8240   6342   11604   13477    7864    6464    2222    7333    4314       0     88050
Atwell Island WD            0      0      0      0       0       0       0       0       0       0       0       0         0
Delano-Earlimart ID      1007   1219   8076  11490   19237  25023    29041   18782   10385    8525    5087      59    137931
Exeter ID                  41      0     61    269    1241   2277     3177    3143    2599    1674     425       0     14907
City of Fresno              0      0      0      0       0    0      26900   14035      65       0       0       0     41000
County of Fresno SA #34     1      0      8      8    84      67        82      65      51      43      12      11       432
Fresno ID                 989   4124   5632     89    1332   3643      712       0    9608    9073       0       0     35202
Garfield WD                21     43    245    266     451   296       622     529     373     234      26       0      3106
Hills Valley ID             0      0     23     32       0   518       942     840     748     429     103       0      3635
International WD           15      0      0     67     229   230        64      81     280     247      25       0      1238
Ivanhoe ID                646     27      0     57     432   1402     2274    2186    2633     711     266       0     10634
Kawaeah Delta WCD           0      0      0      0       0    0          0       0       0       0       0       0         0
Kern County Water Agenc  8572  26659      0   1485    7262    0          0       0       0       0       0    2067     46045
Kern-Tulare WD             44     79    578    522    3046   5044     5414    4495    3898    2660    1114       0     26894
Lewis Creek WD              0      0      0      0     164   302       314     298     242     128      46       0      1494
Lindmore ID                 0      0    326   1277    4253    6957    9408    8465    6479    4130    1531       0     42826
City of Lindsay           137      0     73    211     240     245     260     256     229     235      99       0      1985
Lindsay-Strathmore ID     323    127      0    622    2405    3376    4198    4135    3761    3060    1323      95     23425
Lower Tule River ID      3864   4243  14424   7144   27343   30743   36582   33946    2490     567    1002       0    162348
North-Kern  WSD             0      0      0      0       0       0    1800       0       0       0       0       0      1800
City of Orange Cove        46     39     50     63     134     172     194     176     144     164     180     120      1482
Orange Cove ID            128      0     64    454    2744    4794    5884    5717    5010    3225     667       0     28687
Pixley ID                   0   1288   1238   2283    3028    7791    7459    5476      64       0       0       0     28627
Porterville ID              0     54    808    951    3035    2908    3683    2558    1215    1948       0       0     17160
Rag Gulch WD                0     61    626    553    2144    2078    2651    3063    1475     935     284       0     13870
Rosedale Rio Bravo WSD      0      0      0      0       0       0       0       0       0       0       0       0         0
Saucelito ID              282    618   2402   2868    6116    5503    8367    5099    3529    2803     635       0     38222
Semitropic WSD            500      0      0      0       0       0       0       0       0       0       0       0       500
Shafter Wasco ID         1034   3798   4980   5514    7402    9983   12049    7195    3134    4492    1309       0     60890
Southern San Joaquin MU   431   1652   8134   9777   15446   20426   23373   16522    9297    7420    2090       0    114568
Smallwood Vineyards         0      0    114     53      98      86       0       0       0       0       0       0       351
Stone Corral ID             8      0      0     64     482    1136    1440    1301     812     599     104       0      5946
Strathmore PUD             28     25     32     35      58      63      74      65      59      51      36      33       559
Styro Tek, Inc.             0      0      1      0       1       0       1       1       1       1       1       0         7
Tea Pot Dome WD           239   1414     43    219     666    1041    1328    1220    1159     815     246       0      8390
Terra Bella ID            134     44     49    403    1846    2640    3619    3152    2885    2000     922       0     17694
Tri-Valley WD               0      0      0      0      41     159     215     245     162      79      16       0       917
Tulare ID                4976  14248      0   5545   14613   32407   25696   12934       0       0       0       0    110419
 
         Total          31098  72320  56227  58663  137177  184787  225687  162444   75009   63581   21863    2385 1,091,241
 
*  Data supplied by Fresno Field Division, Contracts Administration Division
