                                                                                                                           Table 24
                                           U.S. Department of Interior - Bureau of Reclamation
                                                   Central Valley Operations Office

                                                   San Joaquin and Mendota Pool
Monthly Deliveries in AF                                     2006

Water User                     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec    Total

Fresno Slough WD                  0     608      28       0      89     496     716     552      76      21       0       0     2586
Tranquility Public Utilitie       0       0      22       0       0      15      31      26       2       0       0       0       96
James ID                       1248    7020    2401       0    1459    3248   12069   11899    3529    1281    2253    1030    47437
Laguna WD                         0       0       0       0       0       0       0       0       0       0       0       0        0
Meyers (SLWD)                   427     426     538     461     603     432     109      72     215    1176     589     476     5524
Dudley & Indart (formerly C      36     258     138      21      79     298     769     469     183       0       0      24     2275
Mid-Valley WD (no contract)       0       0       0     331    1438    1832     111       0       0       0       0       0     3712
Reclamation District #1606        0      79      37       0       0       0       0       0       0       0       0       0      116
Terra Linda Farms (Coelho F     200    1032     234     102    1076    1588    1546    1016     870     208     233       0     8105
Tranquility ID                    0    4718     937     150    1286    4882    7116    5482     657     130     367       0    25725
Westlands WD                      0       0       0       0    6032    5374       0       0       0       0       0       0    11406
Wilson, JW (no contract)          0     171       0       0       0     139     222     178       9       0       0       0      719

Total                          1911   14312    4335    1065   12062   18304   22689   19694    5541    2816    3442    1530   107701


Exchange Contractors
Central California ID (See      176   35265   15536    4457   47950   67227  102849   87760   45070   30466   13339   12587   462682
Columbia Canal Co                 0    3636    4414     670    3896    4367    7555    7642    3596    4156    1042       4    40978
Firebaugh Canal WD              843    4368     817     871    4852    6555    6613    5847    2880     454     474       0    34574
San Luis Canal Co                 0    7560    6641    1554   14485   24579   33190   25758   10905    6136    3860    4362   139030

Total                          1019   50829   27408    7552   71183  102728  150207  127007   62451   41212   18715   16953   677264


Refuges
Grasslands WD - 76.05L (CCI    3057   10556    1000     852    9415    3688    2182    4131   16596   26110    6171    2839    86597
Kesterson - (USFWS)             267     477     887     292     278      15      77       0    1694    1397       0       0     5384
Los Banos WMA (DFG)             705    2322     872     154     216      63     123     793    2797    3961    3970    1850    17826
San Luis NWR (USFWS)           2372    9887       0       0       0    2500    1000       0    2500    5404    4098       0    27761
Mendota Wildlife Area           981    2486     354     273    1102    2030    2621    2513    4254    6955    2476    1644    27689
China Island Unit               168     470     627     169     188      43     139     179     902    1974    1557     686     7102
Salt Slough Unit                296     599    1137     621     900     224     371     270    1197    1173    1538     887     9213
Freitas Unit                    236     422     937     550     238      89       0      31     600       0    1171     922     5196
Kern National Wildlife Refu     472     524       0     255     493       0      40    1561    4656    4698    5135    3448    21282

Total                          8554   27743    5814    3166   12830    8652    6553    9478   35196   51672   26116   12276   208050


Total Deliveries              11484   92884   37557   11783   96075  129684  179449  156179  103188   95700   48273   30759   993015

Note:  1)  Includes transfered water to Hamburg Farms and Dos Palos off of the San Luis Canal.
