                                                                                                                   Table 24
                                           U.S. Department of Interior - Bureau of Reclamation
                                                   Central Valley Operations Office

                                                   San Joaquin and Mendota Pool
Monthly Deliveries in AF                                     2007

Water User                     Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec    Total

Dudley & Indart (formerly C     138     712     102     126     220     537     593     285       7       3       0       0     2723
Fresno Slough WD                  0     613     187     221     470     525     727     647     123      62       0       0     3575
James ID                       3538    7983    4017     928    3271    5420    5734    2769     278       0       0       0    33938
Laguna WD (via CCID)              0       0       0       0       0       0       0       0       0       0       0       0        0
Meyers (SLWD)                   643     441     542     382     122      91     103     140      80       0     282      30     2856
Mid-Valley WD (no contract)       0       0       0       0       0       0       0       0       0       0       0       0        0
Reclamation District #1606        5       4      45      26      95     122      43      44       0       0      18       0      402
Terra Linda Farms (Coelho F     431     880     622     529    1321    1708    1977    1454     433     271      10     197     9833
Tranquility ID                   88    5053    1170    1149    4084    5220    5841    4144     689     384     329       0    28151
Tranquility Public Utilitie       0       8      19       0      27      23       9       0       0       0       0       0       86
Westlands WD (Lateral 6 & 7       0       0       0       0       0       0       0       0       0       0       0       0        0
Wilson, JW (no contract)          0     153      59       0     104      93     114      83       0       0       0       0      606
San Luis WD (via CCID)           59       8      62      62       9      41      49      61      43       0       0       0      394

Total                          4902   15855    6825    3423    9723   13780   15190    9627    1653     720     639     227    82564


Exchange Contractors
Central California ID (CCID    6331   34894   21197   21247   49924   60206   72431   49545   17095   26587    1197    1915   362569
Columbia Canal Co                71    3664    5565    4888    6972    8277    9717    6833    3945    5048       0       0    54980
Firebaugh Canal WD             2640    6304    1392    4842    6387    7138    7804    5592    1400    1416       0       0    44915
San Luis Canal Co (SLCC)          0    7500    7800   11346   19532   26047   28512   20178    7726    4079     500       0   133220

Total                          9042   52362   35954   42323   82815  101668  118464   82148   30166   37130    1697    1915   595684


Refuges
Grasslands WD (via CCID & S    8854       0    1902     403    1259     326      28     735   21978   12143    5390    3199    56217
China Island Unit (CDFG) (v     922     317     202     178     137     224     213     216    1240     801     460     936     5846
Los Banos WMA (CDFG) (via C    4106    1171     563      99      74     149     150     903    3004    4299    3324    2950    20792
Mendota Wildlife Area (CDFG    1254    1950     790     843    1551    2027    2937    2172    5178    4473    2009    2285    27469
Salt Slough Unit (CDFG) (vi     945      75     217     176     132     151     192     214    1213    1400    1244    1081     7040
Freitas Unit (USFWS) (via C    1259     398     144     116     151     140     158     155     700    1892    1101    1023     7237
Kesterson (USFWS) (via CCID       0       0     282      96      92     149     106     190       0       0       0       0      915
San Luis NWR (USFWS) (via S    9983    8865     632       0       0    2500     362    2242    2564    4378    5077    3727    40330
                                                                                                                                   0

Total                         27323   12776    4732    1911    3396    5666    4146    6827   35877   29386   18605   15201   165846


Total Deliveries              41267   80993   47511   47657   95934  121114  137800   98602   67696   67236   20941   17343   844094
