                                                                                                          Table 27
                                               U. S. Department of Interior - Bureau of Reclamation
                                                      Central Valley Operations Office

                                                      Tehama-Colusa Canal
                                                             2001

Monthly Deliveries in AF

       Water Users           Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct  Nov  Dec   Total

Colusa County WD              454    193   1375   5618  10619  12764  12724   8144   3689   3735  220   90   59625
Cortina WD                      6      0     12     95    168    213    203    103     63     78    0    0     941
Davis WD                        0      0     28    212    308    336    564    274      0      0    0    0    1722
Dunnigan WD                    43      5     59    954   3058   2947   3336   2349    829    395    0    4   13979
4-M Water District              0      0     32    285    510    342    497    415    130    158    2    0    2371
Glenn Valley WD                 0      0      0      0    101    103     37    280     30      2    0    0     553
Glide WD                       16      0      1    318   3667   3058   3520   2469    375     66  271   27   13788
Holthouse WD                    0      0      0     95    452    405    344    155    227     51    0    0    1729
Kanawha WD                      0      6    291   2140   8565   8684   7452   4381   1028    277   13    0   32837
Kirkwood WD                     0      0      0     35    188    192    256    138     61     16    0    0     886
La Grande WD                    0      0      4    541   1377   1324   1228    847      0    147    0    0    5468
Myers-Marsh MWC                 0      0      0     21     22     61     47     50      0      0    0    0     201
Orland-Artois WD              226     17    193   2762   8426   8487   9231   7181   3629   1955   19   36   42162
Westside WD                    54      0    499   2671   8159   8839   6529   3563   1173    744    6    0   32237

Total                         799    221   2494  15747  45620  47755  45968  30349  11234   7624  531  157  208499
