                                                                                                          Table 27
                                    U.S. Department of Interior - Bureau of Reclamation
                                           Central Valley Operations Office
 
                                           TEHAMA-COLUSA CANAL
 
                                                     1999
Monthly Deliveries in AF
 
     Water Users        Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec    Total
 
 
Colusa County WD           0      0    737   3604  11454  13083  14865   8364   3807   3803    441   1103    61261
Cortina WD                 0      0      0     20    136    172    170     90     84     56      1     14      743
Davis WD                   0      0     51     22    499    569    327    253      0      0      0      0     1721
Dunnigan WD                0      0     51    362   3422   3123   3914   2532    777    347     29    166    14723
4-M Water District         0      0      9    122    694    499    367    354    137     75     24      0     2281
Glenn Valley WD            0      0      0     28    158     81    317    104      9      0      0      0      697
Glide WD                   0      0      0    378   4007   1940   4127   2751    829     30     24     28    14114
Holthouse WD               0      0     21    102    373    274    332    234    194     88      0     36     1654
Kanawha WD                 0      0     21   1515   7722   5691   8181   4290   1530    368     15      9    29342
Kirkwood WD                0      0      0     17    141    112    167    140     90     37      1      0      705
La Grande WD               0      0      0    335   1300    953   1330   1039    164     25      0      0     5146
Myers-Marsh MWC            0      0      0     48     56      3      0      0      0      0      0      0      107
Orland-Artois WD           0      0     84   3020  11525  10453  13907   9039   6101   2932    435    501    57997
Westside WD                0      0    446   2057   8483   8650   8943   4223   2091    875     53     81    35902
 
Total                      0      0   1420  11630  49970  45603  56947  33413  15813   8636   1023   1938   226393
 
Data supplied by Willows Field Division, Water and Lands Division
