                                                                                                        Table 28
                                             U. S. Department of Interior - Bureau of Reclamation
                                                    Central Valley Operations Office

Monthly Deliveries in AF                            Sacramento River
                                                           2003
Water Users                    Jan  Feb  Mar    Apr    May    Jun    Jul    Aug    Sep    Oct  Nov  Dec    Total

A&F Boeger Corp & Thunder Farm    0    0    0    207    363    304    537    373    119    143    0    0     2046
Anderson Cottonwood ID            0    0    0   6184  14829  19488  18866  18330  17583  12472    0    0   107752
Andreotti, Arthur, et al          0    0    0      0    400    707    724    631    268      0    0    0     2730
Baber, Jack, et                   0    0    0      0    228    680    718    324      0    187    0    0     2137
A&R Farms (Odyesseus)             0    0    0      0     15      5     53     32     40     16    0    0      161
Cannel, Fred                      0    0    0      0     10    274    205      0     23    283    0    0      795
Carter, Jane                      0    0    0      0    142    554    303    115    228     51    0    0     1393
Colusa Prop. Inc                  0    0    0      0     10      1     98      0      0      0    0    0      109
Conaway Conservancy Group         0    0    0      0   3815   5535   6556   5484    740   2504    0    0    24634
Davis, Olive P, et al             0    0    0   1312   5674   4869   5978   5002    333      0    0    0    23168
Deseret Farms of Calif            0    0    0      0     45    287    328    176      6      0    0    0      842
Dommer, Elizabeth                 0    0    0      0      0      2      3      2      2      0    0    0        9
Forry, David G, et al             0    0    0      0    112    242    518    369    125      0    0    0     1366
Forster, Rosemary                 0    0    0      0    474    330    384    303      2      0    0    0     1493
Furlan Joint Venture (Area #1)    0    0    0      0      0     49     66      0      0      0    0    0      115
Furlan Joint Venture (Area #2)    0    0    0      0      0      0      0      0      0      0    0    0        0
Glenn-Colusa ID                   0    0    0  43449 123213 133462 156548 118732  38601  57630    0    0   671635
Griffin, J, et al                 0    0    0      0    429    550    121    174    341      0    0    0     1615
Henle Family Limited Partnersh    0    0    0     14    115    215     92      5      0      0    0    0      441
Hershey Land Co                   0    0    0      0    100    219    335    284    108      0    0    0     1046
Hiatt, Glenn                      0    0    0      0     28    303    283    122    179      0    0    0      915
Hollins, Mariette B               0    0    0      7    194    178    210    164     11      0    0    0      764
Howald Farms                      0    0    0      0    106    223    152     51    125      0    0    0      657
King, Barbara                     0    0    0      0      0      2      2      2      2      0    0    0        8
Knaggs Walnut Ranches Co, L.P.    0    0    0      0      0      0      0      0      0      0    0    0        0
Lockett, William P.               0    0    0      0      0      2    144      0      0      0    0    0      146
Loma Cold Storage/J Micheli       0    0    0     18   1031   1556    686    273      0      0    0    0     3564
M&T Inc.                          0    0    0      0    862   1003   1810   1419     78   1526    0    0     6698
MCM Properties, Inc               0    0    0      0      0     60     77     24      0      0    0    0      161
Maxwell ID                        0    0    0    239    399    110      0      0      0    571    0    0     1319
Meridan Farms WC                  0    0    0    183   2959   2992   4937   5464   1255      0    0    0    17790
Natomas Central MWC               0    0    0   1290  12566  16459  23861  17875   4112    983    0    0    77146
O'Brien,  Janice                  0    0    0      0     87    277    233     59     51      0    0    0      707
Oji Bros. Farms Inc               0    0    0    129    346    674    782    370    172      0    0    0     2473
Oji, Mitsue Family PTN            0    0    0      0    278   1045    642      0      0      0    0    0     1965
Pelger Mutual WC                  0    0    0     98   1413   1330    620    581     93   1015    0    0     5150
Pleasant Grove-Verona MWC         0    0    0      0   1966   3217   4413   2672    457      0    0    0    12725
Princeton,-Codora-Glenn ID        0    0    0   2992  11804  11486  13726   9582   2759   5865    0    0    58214
Provident Irrigation District     0    0    0   3210  12461  11187  13824   5903    266  10107    0    0    56958
Reclamation Dist #108             0    0    0   2087  26250  31745  38176  26084   3987   3930    0    0   132259
Reclamation Dist #1004            0    0    0    943   9726  10597  15947  12054   4045  11768    0    0    65080
Reynen, John, et al               0    0    0      0    807    976   1668   1223     82      0    0    0     4756
River Garden Farms                0    0    0    396   4160   4473   4350   3782   1084    337    0    0    18582
Roberts Ditch Irrigation Co       0    0    0      0    368    765   1113    790    354      0    0    0     3390
Sartain Mutual WC                 0    0    0      0    276    462    508    292      0      0    0    0     1538
Siddiqui, J & A & Siddiqui Fam    0    0    0      0      2     69    162    212     94      7    0    0      546
Spence, Ruth Ann                  0    0    0      0      0      0      0      0      0      0    0    0        0
Sutter Mutual WC                  0    0    0   3787  28891  38509  46943  42932  11650   1737    0    0   174449
Swinford Tract Irrigation Co      0    0    0      0      0      0     27     23      0      0    0    0       50
Tarke, James, et al               0    0    0      0    184    328    375    336     79      0    0    0     1302
Tisdale Irrigation & Drain        0    0    0     45   1096   1853   1834   1606    576      0    0    0     7010
Wallace Construction, Inc.        0    0    0      0      0      0    300    187      0      0    0    0      487
Wells, Joyce M                    0    0    0      8    210    237    279    217     15      1    0    0      967
Wilson Ranch Partnership          0    0    0      0      0      0      0      0      0      0    0    0        0
Windswept Land & Livestock Co.    0    0    0      0     75    412    297     35      0     11    0    0      830

Total                             0    0    0  66598 268519 310303 370814 284670  90045 111144    0    0  1502093

* Data supplied by Willows Field Division, Water and Land Division (long-form contracts only)
