                                                                                                          Table 31
                                    U.S. Department of Interior - Bureau of Reclamation
                                           Central Valley Operations Office
 
                                           Friant-Kern Canal
 
Monthly Deliveries in AF                          1997
 
      Water User          Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec   Total
 
Alpaugh ID                 0      0      0      0      0      0      0      0      0      0      0      0       0
Arvin-Edison WSD       10095   6868  26601  30464  19173  15298  10085  10272   7525  24642  13530  13025  187578
Atwell Island WD           0      0      0      0      0      0      0      0      0      0      0      0       0
Delano-Earlimart ID        0    761  10702  16918  26543  28038  28579  20723  10925   7221   4059    489  154958
Exeter ID                  6      0    381   1305   2622   2845   3184   2849   2202   1265    326    100   17085
City of Fresno             0      0      0      0      0  12656  35736  10000   1608      0      0      0   60000
County of Fresno SA #3     0      9     32     50     91     85     79     77     49     35      9      1     517
Fresno ID                  0      0     53   7212    571  11500    619    258     85    406     77      0   20781
Garfield WD                0      0    348    550    592    622    569    521    338    298     21      0    3859
Hills Valley ID            0      0      4    303    633    619    806    796    578    336     66      0    4141
International WD           0      0    126      0      0    218    257    356    345    116      0      0    1418
Ivanhoe ID                 0      0     76    242    927   1102   1961   2102   2175   1551    528    210   10874
Kawaeah Delta WCD          0      0      0      0      0      0      0      0      0  12216      0      0   12216
Kern County Water Agen   568    107      0      0      0      0      0      0      0      0   6873    876    8424
Kern-Tulare WD           215    181   1332   3012   4903   5823   5975   4570   3830   1006    389    156   31392
Lewis Creek WD             0      0     83    409    446    420    387    352    177    172     26      0    2472
Lindmore ID                0      0   1858   3684   6250   7825   9289   8464   5615   3159    697      0   46841
City of Lindsay            0      0      0     32    152    204    226    194    165    165    140    125    1403
Lindsay-Strathmore ID      0      0    694   2158   3641   3790   4651   4617   3617   2532    675    200   26575
Lower Tule River ID     1748   4734  20977  30263  15648  37949  37574  27968  16073  14404   1967    892  210197
North-Kern WSD             0      0      0   1432      0    592      0      0   3273   2783      0      0    8080
City of Orange Cove       45     33     85    105    142    167    181    181    143    127     95     78    1382
Orange Cove ID             0      0    524   2477   5319   5933   6566   6141   4825   3088    615      0   35488
Pixley ID                  0    250   4969   6219   2685   6363  10305   3481   3071   4795      0      0   42138
Porterville ID             0    261   1363   1394   2330   2298   2743   2022    871    458    536    508   14784
Rag Gulch WD               0      0    620   1463   2214   2439   2193   2773   1300   1669    104      0   14775
Rosedale Rio Bravo WSD     0      0      0   8962      0      0      0      0      0  10982   3352      0   23296
Saucelito ID              54    202   4410   5245   6149   6480   7940   5444   3148   1796    243      0   41111
Semitropic WSD             0      0      0      0      0      0      0      0      0      0      0      0       0
Shafter Wasco ID         276   3898   9808   6854   9980  11687  11813   7070   4262   4349   1009    502   71508
Southern San Joaquin M     0    497  10489  13295  19994  21971  23765  17163   9657   6238    862     23  123954
Smallwood Vineyards        0      0     84    120    124    120    124     12      0      0      0      0     584
Stone Corral ID            0      0      0    734   1594   1880   1916   1807   1000    588    133      0    9652
Strathmore PUD            24     13     37     54     73     67     76     67     61     40      0     31     543
Styro Tek, Inc.            0      1      0      1      0      1      1      1      1      1      0      0       7
Tea Pot Dome WD            0      0    179    570   1030   1156   1344   1316    950    535    110      4    7194
Terra Bella ID            84     34    404   1550   2836   3143   3901   3785   2802   1676    410     52   20677
Tri-Valley WD              0      0      0     34     57     97    176    161    174    122     21      0     842
Tulare ID                  0      0   5963  15330      0  33238  18221  10180      0      0      0      0   82932
 
     TOTAL             13115  17849 102202 162441 136719 226626 231242 155723  90845 108771  36873  17272 1299678
 
*  Data supplied by Fresno Field Division, Contracts Administration Division
