                                                                                                               TABLE 34
                      UNITED STATES DEPARTMENT OF THE INTERIOR - BUREAU OF RECLAMATION
 
                                              DELTA-MENDOTA CANAL
 
                                                 1994
MONTHLY DELIVERIES IN AF
 
       WATER USERS         JAN     FEB     MAR     APR     MAY      JUN     JUL     AUG     SEP     OCT     NOV     DEC     TOTAL
 
BANTA-CARBONA ID            0       0      45    1648     471     1369    3284     878       0     423      99       0      8217
BROADVIEW WD             3219    1972    1237    1124    1028     3832    3800    2638      19       0     394       0     19263
CENTRAL CALIF ID         1089     322   14125   15228   22670    32632   30704   28312   15506   13897    1117       0    175602
CENTINELLA WD               1      77      88     210     230      213     252     239     104      42       0      26      1482
DAVIS WD                   12     100     230     440     428      565     588     438     303      79      10       0      3193
DEL PUERTO WD              49     103      67     571     323      817    1009    1044     395      42       3      45      4468
EAGLE FIELD WD            105      35     100     195     393      548     712     171      62       0       0       0      2321
FIREBAUGH CANAL          1898     518       0     145       0     4843    7190    4585       0     456    3092       0     22727
FISH & WILDLIFE (W1139    295     651       0     476     577     1230     675      97     628    1103       0       0      5732
FOOTHILL WD                84     277     365     740    1129     1331    1393    1343     923     343      70      32      8030
GRASSLAND WD              677     439       0      89    1201        0       0     193    8245   15322    2587    7645     36398
HOSPITAL WD                16     244     872    1932    1540     2554    2740    2327     942     286     183     158     13794
KERN CANON WD               7     120     244     746     518      900     780     893     333     183      81      18      4823
MERCY SPRINGS WD          429     554      55     131     323      421     678     467      81       0       0       0      3139
MUSTANG WD                115      46     332     503     710      971    1173    1046     337      62      11       0      5306
ORESTIMBA WD               44      29     266    1206     793     1470    2044    2160     616     153       6       3      8790
ORO LOMA WD                 0      90       0     266     684      651     745     704      19       0       0       0      3159
PACHECO WD                  0       0       0       0       0        0     522     685       0       0       0       0      1207
PANOCHE WD - AG           289     291     158     591     411      907     633     347      69      20      44       1      3761
   "    "  - M&I            2       3       2       3       1        2       2       3       2       3       2       3        28
PATTERSON WD               12       9     502    1266     201      735    2405    2419    1163     305      80      88      9185
PLAIN VIEW WD             110     272     464     671     702      908    1046    1244     865     341      62      34      6719
QUINTO WD                  28     145     262     281     363      634     669     654     284      50      28      71      3469
ROMERO WD                   0       0     159      75     161      273     305     300     165       0       0       0      1438
SALADO WD                   0      35     161     395     447      700    1066    1223     458      70       1      10      4566
SAN LUIS WD -  AG         760    2117     473     732       0     1733    1817    1382     327      86       1       1      9429
 "    "     -  M&I          1       1       7       9     669       21      22      21      15       6       2       1       775
ST. FISH & GAME           238       0       0       0      15        0       0       0       0       0       0       0       253
SUNFLOWER WD              360     143     527    1034       0     1145    1348    1267     331     102       9      43      6309
TRACY, CITY OF              0     459     365     546    1069      895     953     965     868     987     446       0      7553
WEST SIDE GOLF              0       0       0       0     659        0       0       0       0       0       0       0       659
WEST SIDE ID                0       0       0       0       0      956     869     564       0       0       0       0      2389
W. STANISLAUS I.D.          0       0       0    3213     139     6030    7647    1366       2       0       0       0     18397
WILDREN WD                  0      86      38       0    3031        1      52     103       0       0       0       0      3311
F& W KEST. (WO990)          0       0       0       0      30        0       0       0       0       0       0       0        30
VOLTA WL MGMT (1140)        0       0     933      55     797      853    1518    1859    1800    1469    1200    1240     11724
F&W ALT HAB. (WO1085)       0       0     233       0       0        0       0       0       0       0     222     308       763
GRASSLANDS (1034)           0       0       0       0       0        0       0       0       0       0       0       0         0
 
TOTAL DMC DELIVERIES     9840    9138   22310   34521   41713    70140   78641   61937   34862   35830    9750    9727    418409
 
O'NEILL PUMP. PL.      109957  150573   50612    9741  -20137  -107424  -64155  -21518  109507   42593  105798  200028    565575
 
TOTAL                  129637  168849   95232   78783   63289    32856   93127  102356  179231  114253  125298  219482   1402393
 
* Data supplied by Tracy Field Office, Water Division
