                                                                                                   TABLE 36
 
                           UNITED STATES DEPARTMENT OF THE INTERIOR -BUREAU OF RECLAMATION
 
                                             TEHAMA-COLUSA CANAL
                                                      1993
MONTHLY DELIVERIES IN AF
 
       WATER USERS           JAN   FEB   MAR    APR    MAY    JUN    JUL    AUG    SEP   OCT   NOV   DEC   TOTAL
 
 
COLUSA COUNTY W.D.            44    23   111   3614   8098   7930  11581   8405   3912  3168  1203   152   48241
CORTINA W.D.                   0     0     2    224    234     67    111     67     67    25     0     0     797
DAVIS W.D.                     0     0     2    102    526    351    223     29      0     0     0     0    1233
DUNNIGAN W.D.                  0     0     0    705   1396   1499   2427   1925    657   149    46     2    8806
ELDER CREEK W.D.               0     0     0      0      0      0      0      0      0     0     0     0       0
FISH FACILITIES                0     0     0      0      0      0      0      0      0     0     0     0       0
4-M WATER DISTRICT             0     0     0    135    343    137    306    272    299    17    24     0    1533
GLENN-COLUSA I.D.              0     0     0      0   6302   8506  28591  40610   2090  1428  1699   572   89798
GLENN VALLEY W.D.              0     0     0    121     76     74    131    124      6     0     0     0     532
GLIDE W.D.                     1     0     0    626   2233   2030   3143   2487   1096    57   133     5   11811
HOLTHOUSE W.D.                 0     0    44    124    112    160    204    122    112    69    15     0     962
KANAWHA I.D.                   0     0     0   2442   5752   4485   6657   5382   2253   156   176     0   27303
KIRKWOOD W.D.                  0     0     0      0    112    120    120    129     67    31     1     0     580
LA GRANGE W.D.                 0     0     0     15    987    821    816    835     82     0     0     0    3556
MYERS-MARSH W.D.               0     0     0      9     25     32     28      0      0     0     6     0     100
ORLAND-ARTOIS                 33    18    52   1679   8654   8239  15097  12268   7943  2413   750   291   57437
RANCH SAUCOS W.D.              0     0     0      0      0      0      0      0      0     0     0     0       0
RICHFIELD                      0     0     0      0      0      0      0      0      0     0     0     0       0
TEHAMA RANCH M.W.C.            0     0     0      0      0      0      0      0      0     0     0     0       0
TEHAMA W.D.                    0     0     0      0      0      0      0      0      0     0     0     0       0
WESTSIDE W.D.                  3     0   264   2030   6990   6380   5781   3886   1331   241   114    81   27101
 
TOTAL                         81    41   475  11826  41840  40831  75216  76541  19915  7754  4167  1103  279790
 
*  Data supplied by Willows Field Division, Water and Lands Division
