                                                                                                   TABLE 36
 
                           UNITED STATES DEPARTMENT OF THE INTERIOR  -  BUREAU OF RECLAMATION
 
                                           TEHAMA-COLUSA CANAL
 
                                               1996
MONTHLY DELIVERIES IN AF
 
       WATER USERS     JAN   FEB   MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT   NOV   DEC   TOTAL
 
 
COLUSA COUNTY W.D.      0     0   460   3502   7530  12089  13085   8510   4078   3931     0     0   53185
CORTINA W.D.            0     0     0     61    128    308    334    199    129     62     0     0    1221
DAVIS W.D.              0     0    22    245    253    506    267    107     41      0     0     0    1441
DUNNIGAN W.D.           0     0   105    562   1574   2606   2893   1619    607    199     0     0   10165
4-M WATER DISTRICT      0     0     2     86    266    508    657    467    244      8     0     0    2238
GLENN-COLUSA I.D.       0     0    13     46    185    313    201    100     50     14     0     0     922
GLIDE W.D.              0     0    15    754   2775   3190   3934   3361    809    325     0     0   15163
HOLTHOUSE W.D.          0     0    30     60    217    143    263    142     48     49     0     0     952
KANAWHA I.D.            0     0   122   2262   5287   7655   8306   6157   1611    255     0     0   31655
KIRKWOOD W.D.           0     0     0      1    140    169    197    162    100     43     0     0     812
LA GRANGE W.D.          0     0     0    234   1152   1231   1439    981     50     23     0     0    5110
MYERS-MARSH W.D.        0     0    19     38     38    146     98      0     12     22     0     0     373
ORLAND-ARTOIS           0     0   135   2284   8377  12933  14882  12048   5159   2434     0     0   58252
WESTSIDE W.D.           0     0   268   2646   6182   9274   6129   3726    903    509     0     0   29637
 
TOTAL                   0     0  1191  12781  34104  51071  52685  37579  13841   7874     0     0  211126
 
*  Data supplied by Willows Field Division, Water and Lands Division
