year,county_name,county_area,county_cropland,county_pctcrop,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
1993,Alameda,2125.0018835371,36.00810760259628,.016944977,212511.9135455042,29801.80323204398,182710.1052504927,212568.1490088254,29855.75757202506,182712.3866413385,300352.2756264359,31549.69804367423,268802.5728378445,43811.78343138099,0,43811.78343138099,79286.43860155344,0,79286.43860155344,68804.31029224396,0,68804.31029224396,1390.370052158833,1339.652538776398,50.71754771471024,1446.605516642332,1393.606635093689,52.9989387691021,64238.20572119951,3087.547472953796,61150.65835505724,0,0,0,0,0,0,167309.7597238701,28462.15057072043,138847.6042703371,.99476141,.95106852,.99989194,,1,.5,.99952501
1994,Alameda,2125.0018835371,36.00810760259628,.016944977,211748.1686541587,29469.19030746818,182278.9751534015,211706.3613611013,29428.64676460624,182277.7115770131,300352.2756264359,31549.69804367423,268802.5728378445,43391.6896404922,0,43391.6896404922,81880.7459025979,0,81880.7459025979,68804.31029224396,0,68804.31029224396,1046.720692127943,1007.039492607117,39.68124148249626,1004.913582235575,966.4958882331848,38.41766515374184,64238.20572119951,3087.547472953796,61150.65835505724,0,0,0,0,0,0,167309.7597238701,28462.15057072043,138847.6042703371,.82797223,.93638909,.81514382,,.5,.34999999,.75
1995,Alameda,2125.0018835371,36.00810760259628,.016944977,216531.4019221812,29834.54990276694,186696.8489481956,216517.9065469652,29821.607298702,186696.2962423712,300352.2756264359,31549.69804367423,268802.5728378445,47795.70064121485,0,47795.70064121485,83875.1130900979,0,83875.1130900979,68804.31029224396,0,68804.31029224396,1425.943233251572,1372.399209260941,53.54403567314148,1412.447858989239,1359.456483602524,52.99132984876633,64238.20572119951,3087.547472953796,61150.65835505724,0,0,0,0,0,0,167309.7597238701,28462.15057072043,138847.6042703371,.9898411,1,.98864698,,1,1,.950095
1996,Alameda,2125.0018835371,36.00810760259628,.016944977,207342.4745941907,29927.33254227042,177415.1361621171,207344.7087949067,29929.51549133658,177415.187413767,300352.2756264359,31549.69804367423,268802.5728378445,38511.08813202381,0,38511.08813202381,85869.480704844,0,85869.480704844,68804.31029224396,0,68804.31029224396,1521.625363528728,1465.181605100632,56.44375866651535,1523.859686255455,1467.364675760269,56.49501025676727,64238.20572119951,3087.547472953796,61150.65835505724,0,0,0,0,0,0,167309.7597238701,28462.15057072043,138847.6042703371,.99948692,.99510688,1,,1,.95000005,1
1997,Alameda,2125.0018835371,36.00810760259628,.016944977,220400.4187908918,29988.77162632346,190411.6423042566,220399.8445235044,29988.45949825644,190411.3801835328,300352.2756264359,31549.69804367423,268802.5728378445,51505.8591889739,0,51505.8591889739,87863.85228687525,0,87863.85228687525,68804.31029224396,0,68804.31029224396,1584.799540936947,1526.62068939209,58.17884391546249,1584.225517451763,1526.308804750443,57.91672390699387,64238.20572119951,3087.547472953796,61150.65835505724,0,0,0,0,0,0,167309.7597238701,28462.15057072043,138847.6042703371,.98879337,.99021369,.98862535,,1,.89999998,.94999999
1998,Alameda,2125.0018835371,36.00810760259628,.016944977,205244.398620382,29396.67943939567,175847.7143640667,205256.1908146292,29407.90728744864,175848.2786651999,300352.2756264359,31549.69804367423,268802.5728378445,36963.48460069299,0,36963.48460069299,87863.85228687525,0,87863.85228687525,68804.31029224396,0,68804.31029224396,971.1543856561184,934.5288684368134,36.62549242377281,982.9461533725262,945.7563506364822,37.18979308009148,64238.20572119951,3087.547472953796,61150.65835505724,0,0,0,0,0,0,167309.7597238701,28462.15057072043,138847.6042703371,1,1,1,,1,1,1
1999,Alameda,2125.0018835371,36.00810760259628,.016944977,256890.3971993476,29585.36307796836,227305.0289673358,256879.600133732,29575.22719177604,227304.3678339273,300352.2756264359,31549.69804367423,268802.5728378445,88412.33656278253,0,88412.33656278253,87863.85228687525,0,87863.85228687525,68804.31029224396,0,68804.31029224396,1168.300578951836,1123.212384700775,45.08813321590424,1157.503513276577,1113.076498985291,44.42699927091599,64238.20572119951,3087.547472953796,61150.65835505724,0,0,0,0,0,0,167309.7597238701,28462.15057072043,138847.6042703371,.98674107,.97064114,.98862535,,1,.69999999,.94999999
2000,Alameda,2125.0018835371,36.00810760259628,.016944977,262774.3542679101,29462.01720413566,233312.3320468217,262780.01732786,29467.16293510795,233312.8493572026,300352.2756264359,31549.69804367423,268802.5728378445,94425.19343727827,0,94425.19343727827,109801.9027553201,0,109801.9027553201,68804.31029224396,0,68804.31029224396,1039.400773137808,999.8663891553879,39.53433832526207,1045.063955396414,1005.012303233147,40.05164846777916,64238.20572119951,3087.547472953796,61150.65835505724,0,0,0,0,0,0,167309.7597238701,28462.15057072043,138847.6042703371,.97347426,.96574795,.97436017,,.89999998,.64999998,.99981004
2001,Alameda,2125.0018835371,36.00810760259628,.016944977,220087.1591257602,28901.73627743125,191185.418154493,220077.2907080203,28892.38022503257,191184.9058360606,300352.2756264359,31549.69804367423,268802.5728378445,52315.24073246121,0,52315.24073246121,119773.7473598123,0,119773.7473598123,68804.31029224396,0,68804.31029224396,462.158820271492,439.5856761336327,22.57315081357956,452.2903109788895,430.2294715046883,22.06083190441132,64238.20572119951,3087.547472953796,61150.65835505724,0,0,0,0,0,0,167309.7597238701,28462.15057072043,138847.6042703371,.82455504,.95008987,.80970222,,.38999999,.49000001,.84984803
2002,Alameda,2125.0018835371,36.00810760259628,.016944977,248794.8600830585,29004.34267410636,219790.512844041,248802.6753052026,29012.4516762197,219790.2190318853,300352.2756264359,31549.69804367423,268802.5728378445,80917.41894105077,0,80917.41894105077,119773.7473598123,0,119773.7473598123,68804.31029224396,0,68804.31029224396,567.6816946268082,542.1920425891876,25.48963105678558,575.4965508580208,550.3007390499115,25.19581943750381,64238.20572119951,3087.547472953796,61150.65835505724,0,0,0,0,0,0,167309.7597238701,28462.15057072043,138847.6042703371,.92822671,.97064114,.92318863,,.69999999,.69999999,.99990499
