year,dau_code,dau_area,dau_cropland,dau_pctcrop,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
1993,001,4410.83681941,418.5567626953125,.094892822,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394.31541981362,12394.31541981362,0,1,1,,,,,
1994,001,4410.83681941,418.5567626953125,.094892822,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394.31541981362,12394.31541981362,0,1,1,,,,,
1995,001,4410.83681941,418.5567626953125,.094892822,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394.31541981362,12394.31541981362,0,1,1,,,,,
1996,001,4410.83681941,418.5567626953125,.094892822,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394.31541981362,12394.31541981362,0,1,1,,,,,
1997,001,4410.83681941,418.5567626953125,.094892822,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394.31541981362,12394.31541981362,0,1,1,,,,,
1998,001,4410.83681941,418.5567626953125,.094892822,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394.31541981362,12394.31541981362,0,1,1,,,,,
1999,001,4410.83681941,418.5567626953125,.094892822,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394.31541981362,12394.31541981362,0,1,1,,,,,
2000,001,4410.83681941,418.5567626953125,.094892822,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394.31541981362,12394.31541981362,0,1,1,,,,,
2001,001,4410.83681941,418.5567626953125,.094892822,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394.31541981362,12394.31541981362,0,1,1,,,,,
2002,001,4410.83681941,418.5567626953125,.094892822,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,12394.31541981362,12394.31541981362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12394.31541981362,12394.31541981362,0,1,1,,,,,
