year,huc8,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
1993,15030101,22434,18725,3709,22434,18725,3709,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,22434,18725,3709,0,0,0,1,1,1,,,,
1994,15030101,25786,22497,3289,25786,22497,3289,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,25786,22497,3289,0,0,0,1,1,1,,,,
1995,15030101,24483,21364,3119,24483,21364,3119,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,24483,21364,3119,0,0,0,1,1,1,,,,
1996,15030101,34185,31037,3148,34185,31037,3148,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,34185,31037,3148,0,0,0,1,1,1,,,,
1997,15030101,30326,27493,2833,30326,27493,2833,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,30326,27493,2833,0,0,0,1,1,1,,,,
1998,15030101,29386,26869,2517,29386,26869,2517,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,29386,26869,2517,0,0,0,1,1,1,,,,
1999,15030101,23812,21224,2588,23812,21224,2588,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,23812,21224,2588,0,0,0,1,1,1,,,,
2000,15030101,26070,23595,2475,26070,23595,2475,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,26070,23595,2475,0,0,0,1,1,1,,,,
2001,15030101,21390,18673,2717,21390,18673,2717,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,21390,18673,2717,0,0,0,1,1,1,,,,
2002,15030101,19084,16525,2559,19084,16525,2559,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,19084,16525,2559,0,0,0,1,1,1,,,,
2003,15030101,19639,17056,2583,19639,17056,2583,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,19639,17056,2583,0,0,0,1,1,1,,,,
2004,15030101,19549,17452,2097,19549,17452,2097,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,19549,17452,2097,0,0,0,1,1,1,,,,
2005,15030101,20239,17778,2461,20239,17778,2461,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,20239,17778,2461,0,0,0,1,1,1,,,,
2006,15030101,21715,19089,2626,21715,19089,2626,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,21715,19089,2626,0,0,0,1,1,1,,,,
2007,15030101,24156,21569,2587,24156,21569,2587,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,24156,21569,2587,0,0,0,1,1,1,,,,
2008,15030101,17714,15233,2481,17714,15233,2481,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,17714,15233,2481,0,0,0,1,1,1,,,,
2009,15030101,20905,18464,2441,20905,18464,2441,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,20905,18464,2441,0,0,0,1,1,1,,,,
2010,15030101,14208,11865,2343,14208,11865,2343,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,14208,11865,2343,0,0,0,1,1,1,,,,
2011,15030101,16911,14936,1975,16911,14936,1975,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,16911,14936,1975,0,0,0,1,1,1,,,,
2012,15030101,18179,15952,2227,18179,15952,2227,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,18179,15952,2227,0,0,0,1,1,1,,,,
2013,15030101,17685,15485,2200,17685,15485,2200,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,17685,15485,2200,0,0,0,1,1,1,,,,
2014,15030101,18747,16706,2041,18747,16706,2041,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,18747,16706,2041,0,0,0,1,1,1,,,,
2015,15030101,17155,15336,1819,17155,15336,1819,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,17155,15336,1819,0,0,0,1,1,1,,,,
2016,15030101,13580,11744,1836,13580,11744,1836,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,13580,11744,1836,0,0,0,1,1,1,,,,
2017,15030101,16157,14270,1887,16157,14270,1887,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,16157,14270,1887,0,0,0,1,1,1,,,,
2018,15030101,16233,14388,1845,16233,14388,1845,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,16233,14388,1845,0,0,0,1,1,1,,,,
2019,15030101,11421,9592,1829,11421,9592,1829,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,11421,9592,1829,0,0,0,1,1,1,,,,
2020,15030101,15219,13258,1961,15219,13258,1961,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,15219,13258,1961,0,0,0,1,1,1,,,,
2021,15030101,15156,13216,1940,15156,13216,1940,30820,28060,2760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30820,28060,2760,15156,13216,1940,0,0,0,1,1,1,,,,
1993,15030104,744887,744887,0,744887,744887,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,744887,744887,0,0,0,0,1,1,,,,,
1994,15030104,807071,807071,0,807071,807071,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,807071,807071,0,0,0,0,1,1,,,,,
1995,15030104,870640,870640,0,870640,870640,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,870640,870640,0,0,0,0,1,1,,,,,
1996,15030104,960330,960330,0,960330,960330,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,960330,960330,0,0,0,0,1,1,,,,,
1997,15030104,922016,922016,0,922016,922016,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,922016,922016,0,0,0,0,1,1,,,,,
1998,15030104,929847,929847,0,929847,929847,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,929847,929847,0,0,0,0,1,1,,,,,
1999,15030104,944658,944658,0,944658,944658,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,944658,944658,0,0,0,0,1,1,,,,,
2000,15030104,966318,966318,0,966318,966318,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,966318,966318,0,0,0,0,1,1,,,,,
2001,15030104,949036,949036,0,949036,949036,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,949036,949036,0,0,0,0,1,1,,,,,
2002,15030104,1002330,1002330,0,1002330,1002330,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,1002330,1002330,0,0,0,0,1,1,,,,,
2003,15030104,921768,921768,0,921768,921768,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,921768,921768,0,0,0,0,1,1,,,,,
2004,15030104,975271,975271,0,975271,975271,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,975271,975271,0,0,0,0,1,1,,,,,
2005,15030104,806218,806218,0,806218,806218,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,806218,806218,0,0,0,0,1,1,,,,,
2006,15030104,857153,857153,0,857153,857153,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,857153,857153,0,0,0,0,1,1,,,,,
2007,15030104,922686,922686,0,922686,922686,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,922686,922686,0,0,0,0,1,1,,,,,
2008,15030104,886203,886203,0,886203,886203,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,886203,886203,0,0,0,0,1,1,,,,,
2009,15030104,751743,751743,0,751743,751743,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,751743,751743,0,0,0,0,1,1,,,,,
2010,15030104,722293,722293,0,722293,722293,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,722293,722293,0,0,0,0,1,1,,,,,
2011,15030104,814977,814977,0,814977,814977,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,814977,814977,0,0,0,0,1,1,,,,,
2012,15030104,898620,898620,0,898620,898620,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,898620,898620,0,0,0,0,1,1,,,,,
2013,15030104,977010,977010,0,977010,977010,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,977010,977010,0,0,0,0,1,1,,,,,
2014,15030104,953451,953451,0,953451,953451,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,953451,953451,0,0,0,0,1,1,,,,,
2015,15030104,871362,871362,0,871362,871362,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,871362,871362,0,0,0,0,1,1,,,,,
2016,15030104,779874,779874,0,779874,779874,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,779874,779874,0,0,0,0,1,1,,,,,
2017,15030104,735303,735303,0,735303,735303,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,735303,735303,0,0,0,0,1,1,,,,,
2018,15030104,773223,773223,0,773223,773223,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,773223,773223,0,0,0,0,1,1,,,,,
2019,15030104,799897,799897,0,799897,799897,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,799897,799897,0,0,0,0,1,1,,,,,
2020,15030104,792937,792937,0,792937,792937,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,792937,792937,0,0,0,0,1,1,,,,,
2021,15030104,809638,809638,0,809638,809638,0,691346,691346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,691346,691346,0,809638,809638,0,0,0,0,1,1,,,,,
