year,pa_code,pa_area,pa_cropland,pa_pctcrop,vol_deliv_cy,vol_deliv_cy_ag,vol_deliv_cy_mi,vol_deliv_wy,vol_deliv_wy_ag,vol_deliv_wy_mi,vol_maximum,vol_maximum_ag,vol_maximum_mi,swp_deliveries,swp_deliveries_ag,swp_deliveries_mi,swp_maxvol,swp_maxvol_ag,swp_maxvol_mi,swp_basemax,swp_basemax_ag,swp_basemax_mi,cvp_deliveries_cy,cvp_deliveries_cy_ag,cvp_deliveries_cy_mi,cvp_deliveries_wy,cvp_deliveries_wy_ag,cvp_deliveries_wy_mi,cvp_maxvol,cvp_maxvol_ag,cvp_maxvol_mi,loco_maxvol,loco_maxvol_ag,loco_maxvol_mi,loco_deliveries,loco_deliveries_ag,loco_deliveries_mi,rights_avgdivert,rights_avgdivert_ag,rights_avgdivert_mi,pct_allocation,pct_allocation_ag,pct_allocation_mi,swp_pctallo_ag,swp_pctallo_mi,cvp_pctallo_ag,cvp_pctallo_mi
1993,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
1994,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
1995,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
1996,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
1997,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
1998,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
1999,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2000,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2001,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
2002,101,9718.836972179999,962.2090606689453,.099004544,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,138904.7495342996,135632.2495028581,3272.50003759563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138904.7495342996,135632.2495028581,3272.50003144145,1,1,1,,,,
