                                                                                                            Table 22
                                 U. S. Department of Interior - Bureau of Reclamation
                                       Central Valley Operations Office

                                             Friant-Kern Canal
                                                2003
Monthly Deliveries in AF

Water User                   Jan   Feb   Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec   Total

Alpaugh ID                      0     0     0      0      0    114      0      0      0      0      0      0     114
Arvin-Edison WSD             1707  2374     0  20465  51429  17279      0   5016   8636   6955   2214     27  116102
Atwell Island WD                0     0     0      0      0      0      0      0      0      0      0      0       0
Delano-Earlimart ID             0  2960  3771   7150  15362  25234  26958  15936  12119   9092   1793    967  121342
Exeter ID                       0    10    79    136    679   2025   2909   2743   2390   1454    173     61   12659
City of Fresno                  0   837     4      7     15      0  25830  29634   3261    762     34      0   60384
County of Fresno SA #34         4     3    20     15     48     79     95     80     62     45     10      4     465
Fresno ID                       0     0     0      0     67    169   3651      0      0      0      0      0    3887
Garfield WD                     0     0    61    174    278    491    525    388    316    217     12      0    2462
Hills Valley ID                 0     0    17     33    404    699    905    792    774    547     98      0    4269
International WD               25    53     0     89     64    252    259    266    239    168      4      0    1419
Ivanhoe ID                      0     0     0    952   2513   1341   2250   1679   1408    580    174      0   10897
Kaweah Delta WCD                0     0     0      0      0    386      0      0      0      0      0      0     386
Kern County Water Agency        0     0     0      0      0      0      0      0      0      0      0      0       0
Kern-Tulare WD                  0     0  1715   1734    978   4247   4863   3942   3153   2584    563    430   24209
Kings County WD                 0     0     0      0      0    376      0      0      0      0      0      0     376
Kings River CD                  0     0     0      0      0   3457      0      0      0      0      0      0    3457
Lewis Creek WD                  0     0     0      0      0      0      0      0     39     18      0      0      57
Lindmore ID                     0     0   129    828   2989   7697   9762   8858   6928   4595    549      0   42335
City of Lindsay                 0    45   168    162    257    214    266    269    259    257    176    147    2220
Lindsay-Strathmore ID           5   117     0      0      0   2423   4368   4144   3662   2685    572    328   18304
Wutchumna (Lindsey-Strathmo     0     0   202    723   1944   1179      0      0      0      0      0      0    4048
Lower Tule River ID             0     0     0  10194  35532  36555  31197  17992      0      0      0      0  131470
North-Kern  WSD                 0     0     0      0      0      0      0      0      0      0      0      0       0
City of Orange Cove            70    71    86    100    145    191    224    205    193    153    102     86    1626
Orange Cove ID                  0     0    75    258   2910   5423   6290   6016   4978   3465    608    143   30166
Pixley ID                       0     0     0   2342   9571  13482  11053      0      0      0      0      0   36448
Porterville ID                  0     0     0   1284   2518   3567   3807   2113    902    401      0      0   14592
Rag Gulch WD                    0   320   684    989   2690   1850   2104   1620   1543    701    152     19   12672
Rosedale Rio Bravo WSD          0     0     0   2582  21803    872      0      0      0      0      0      0   25257
Saucelito ID                    0   321  1840   2232   4822   6896   6558   4965   2968    268    432     98   31400
Semitropic WSD                  0     0     0      0      0      0      0      0      0      0      0      0       0
Shafter Wasco ID              541  5629  3670   3579   7988  11240  11475   6923   4464   4585   1005   1052   62151
Southern San Joaquin MUD        0  5260  5151   7096  13274  20789  22953  15457  11494   7351   1470   1122  111417
Smallwood Vineyards             0     0    33     62     72    113    114     48      4      0      0      0     446
Stone Corral ID                 0     0     9    232    780   1614   1822   1629   1278    852    149     82    8447
Strathmore PUD                  0    19    19     19     34     42     51     42     47     43     22     32     370
Styro Tek, Inc.                 0     0     1      0      1      0      1      1      0      1      0      0       5
Tea Pot Dome WD                 0     0     0    160    495   1039   1267   1129    983    703    185     50    6011
Terra Bella ID                  0     0   125    449   1538   3178   4000   3547   3204   2155    472    207   18875
Tri-Valley WD                   0     0     0      0     25    232    314    356    266    246     37      0    1476
Tulare ID                       0  2692     0  11459  28428  31717  10055   5170      0      0      0      0   89521
                                0     0     0      0      0  10270      0      0      0      0      0      0   10270
Total                        2352 20711 17859  75505 209653 216732 195926 140960  75570  50883  11006   4855 1022012

*  Data supplied by Fresno Field Division, Contracts Administration Division
