                                                                                                             Table 22
                                U. S. Department of Interior - Bureau of Reclamation
                                       Central Valley Operations Office

                                              Friant-Kern Canal
                                                     2005
Monthly Deliveries in AF

Water User                  Jan    Feb    Mar    Apr    May    Jun    Jul    Aug    Sep    Oct    Nov    Dec   Total

Alpaugh ID                     0   2448      0   1097   1323   3700   4076   3314      0      0      0      0   15958
Arvin-Edison WSD            8683  23283  28928  34390  27191  32349  22231  14982  12998   6561      0   2161  213757
Atwell Island WD               0      0      0      0      0      0      0      0      0      0      0      0       0
Corcoran ID                    0      0      0    183    327      0      0      0      0      0      0      0     510
Delano-Earlimart ID            2    277   1227   8419  11295  24160  27311  22112  10296   6170   3500   1511  116280
Exeter ID                      0      0     16    179    510   2181   2761   3081   2482   1339    531    103   13183
Frasinetto Farms (Frmly S      0      0      0      0     24    134    180    124     29      5      0      0     496
City of Fresno                 0     90      0      0      0      0  16043  29973  13744     74     34     13   59971
County of Fresno SA #34        3      3      6     29     45     69     98     85     64     34     20      4     460
Fresno ID                      0     51      0     31     49    137   7443      0      0      0      0      0    7711
Garfield WD                    0     26     12    101    118    399    471    429    288    216     83      0    2143
Hills Valley ID                0      8      0    155    237    605    860    945    804    454    182      0    4250
International WD              42     89      0     77    120    244    456    363    228    162     81     15    1877
Ivanhoe ID                   152      0     37   1295   1336   1928   2093   2779   1804    596      0      0   12020
Kaweah Delta WCD               0      0      0   7529   4917      0      0      0      0      0      0      0   12446
Kern County Water Agency       0      0    581  20025  62616  11702   1699      0      0      0      0      0   96623
Kern-Tulare WD                 0     53    444   1508   2034   4164   4960  11350  13694   5729   1147    403   45486
Kings County WD                0      0      0   1407      0   1426      0      0      0      0      0      0    2833
Kings River CD                 0      0      0      0      0    200      0      0      0      0      0      0     200
Lakeside WD                    0   2209    906   3745   1391      0      0      0      0      0      0      0    8251
Lewis Creek WD                 0      0      0      1      3     58    107    179     83     55      9      0     495
Lindmore ID                    0      0      0    810   2543   7517   9356   9337   6565   4000   1824      0   41952
City of Lindsay                0     25    105    120    144    238    251    246    246    227    205    152    1959
Lindsay-Strathmore ID          0      0      0      0      0   1297   3954   4331   3423   2007   1389    520   16921
Wutchumna (LSID non-proje      0      0      0    544   1313   1997    326      0      0    466      0      0    4646
Lower Tule River ID         2213  15198  17871  25858  30909  53808  48890  39754  13938      0      0      0  248439
North-Kern  WSD                0      0  13363  13161  17088  12725      0      0      0      0      0      0   56337
City of Orange Cove          110     94    118    141    156    209    217    257    198    161    126    103    1890
Orange Cove ID                11      6     13    654   1390   4836   6098   6628   4472   3144   1530    240   29022
Pixley ID                   1393   3777   4802   6920   8919  12521  15406  11223   1843      0      0      0   66804
Porterville ID                 0      0     85   2033   2237   2732   3732   2812    999     67      0      0   14697
Rag Gulch WD                   0     26    110    615   1257   1284   2235   4653   3673   3245    349     89   17536
Rosedale Rio Bravo WSD     10892  20090  26979  28406   2419      0      0      0      0      0      0      0   88786
Saucelito ID                 414   1817   2248   4058   4477   7919   9413   7162   4549   2537    621    397   45612
Semitropic WSD                 0      0      0      0      0      0      0      0      0      0      0      0       0
Shafter Wasco ID               2   2010   3748   6769   6681  12392  12752   8884   4433   4610   2351    873   65505
Southern San Joaquin MUD       0   1174   2352   8628  12220  21564  25085  19402  10991   8274   3615   2299  115604
Stone Corral ID                0      0      9    223    432   1363   1681   1777   1104    702    330     34    7655
Strathmore PUD                 0      0     23     24     31     44     58     55     42     32     25     21     355
Styro Tek, Inc.                0      0      1      0      1      1      0      1      1      1      0      0       6
Tea Pot Dome WD                0      0      0    103    277    952   1202   1270    997    681    349     50    5881
Terra Bella ID                 0      0      0    164    749   2766   3667   3821   2795   1640   1018    239   16859
Tri-Valley WD                  0      0      0      1      6    188    235    294    207    131     30      0    1092
Tulare ID                   3426  43965  45197  27007  12620  22356  35791  23175   4501      0      0      0  218038
Tulare Lake Basin WSD          0      0      0      0      0   2065   4624      0      0      0      0      0    6689

Total                      27343 116719 149181 206410 219405 254230 275762 234798 121491  53320  19349   9227 1687235

*  Data supplied by Fresno Field Division, Contracts Administration Division
