                                                                                                                 Table 22
                                         U. S. Department of Interior - Bureau of Reclamation
                                                 Central Valley Operations Office

                                                       Friant-Kern Canal
                                                           2009
Monthly Deliveries in AF

Water User                   Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec   Total

Alpaugh ID                      0       0       0       0    2347       0       0       0       0       0       0       0    2347
Arvin-Edison WSD                0       0       0    7095   37932   17236    2589     405    7726   10600   27315       0  110898
Atwell Island WD                0       0       0       0       0       0       0       0       0       0       0       0       0
City of Bakersfiled             0       0       0       0       0       0       0       0       0       0       0       0       0
Corcoran ID                     0       0       0       0       0       0       0       0       0       0       0       0       0
Delano-Earlimart ID          1183    2937    1227    5497   16408   20613   22660   16599   11615    7224   14600     872  121435
Exeter ID                       2       5      49     325     728    1200    1759    2141    2061     900     541     177    9888
Frasinetto Farms (Frmly S       0       0       0       0       0       0     119      35       0       0       0       0     154
City of Fresno                611      89       0     757    5143                               0       0       0       0    6600
County of Fresno SA #34         4       2      20      48      74       0       0       0       0       0       0       0     148
Fresno ID                       0       0       0      45   23243       0       0       0       0       0       0       0   23288
Garfield WD                     0       1      95     144     306     361     338     349     275      71      28       5    1973
Hills Valley ID                 0       0       9     459     630     859    1141    1088     977     413     197      79    5852
International WD                0       0      67      33     316     181     379     300     193      50      21       0    1540
Ivanhoe ID                      0       0       0       0     597     725     929    1199    1755    1110     698       0    7013
Kaweah Delta WCD                0       0       0       0       0       0       0       0       0       0       0       0       0
Kern County Water Agency        0       0       0       0       0       0       0       0       0       0       0       0       0
Kern-Delta                      0       0       0       0       0       0       0       0       0       0       0       0       0
Kern-Tulare WD**               85       0    1936    2967    9943    5368    6717    5482    3873    1934    5885     735   44925
Kings County WD                 0       0       0       0       0       0       0       0       0       0       0       0       0
Kings River CD                  0       0       0       0       0       0       0       0       0       0       0       0       0
Lakeside WD                     0       0       0       0       0       0       0       0       0       0       0       0       0
Lewis Creek WD                  0       0       0      11      82      79     145     113      95      47      19       0     591
Lindmore ID                     0       0     493    1199    2628    3714    5216    6821    6186    3261    2060       0   31578
City of Lindsay               111      96     118     172     168     175     237     242     226     204     159     141    2049
Lindsay-Strathmore ID           0       0       0    1941    2617    3143    4152    2431    3540    1744    1013     449   21030
Wutchumna (LSID non-proje     103     118    2276       0       0       0       0    1429       0       0     193       0    4119
Lower Tule River ID             0       0       0    1055   48521    8237   24932   30050       0     458   11998       0  125251
North-Kern  WSD                 0    1188    1372    1153       0       0     850       0       0       0       0       0    4563
City of Orange Cove            56     140     118     165     222     219     262     106     390     162     129     101    2070
Orange Cove ID                  6       7     202    1692    3137    3892    5344    4747    4288    2273    5200     582   31370
Pixley ID                       0       0       0     143    6684       0    7482    9136       0       0    2923      12   26380
Porterville ID                  0       0       0    1470    4251    3711    3930    2708    1110     486    5200       0   22866
Rosedale Rio Bravo WSD          0       0       0       0       0       0       0       0       0       0       0       0       0
Saucelito ID                  115     644     369    2163    7102    4186    4841    5603    4007    1596    1822      45   32493
Semitropic WSD                  0       0       0       0       0       0       0       0       0       0       0       0       0
Shafter Wasco ID             1429    3669    1364    3035    7407    6437    9269    6518    4651    4014    2482     448   50723
Southern San Joaquin MUD     1664    5659    2613    7006   17165   19853   23566   18227   12234    8511    4094     667  121259
Stone Corral ID                 5       1     188     543     934    1221    1585    1351    1307     398     229     177    7939
Strathmore PUD                 22      29      32      35      51      56      63      61      55      46      28      24     502
Styro Tek, Inc.                 0       4       2       7       7       7       9      12      12      11       7       0      78
Tea Pot Dome WD                 7       0      19     438     704     992    1176    1049     935     511     228      26    6085
Terra Bella ID                 55      31     546    1614    2156    2705    3528    3601    3014    1415    1116     190   19971
Tri-Valley WD                   0       0       0       1      76     140     207     227     207      44      38       0     940
Tulare ID                       0       0       0      59   36146   18196    6237    9851       0     104    9331       0   79924
Tulare Lake Basin WSD           0       0       0       0       0       0       0       0       0       0       0       0       0

Total                        5458   14620   13115   41272  237725  123506  139662  131881   70732   47587   97554    4730  927842

*  Delivery data is based on District turn-out readings and may include water in addition to water service contract deliveries.
** Rag Gulch is a part of Kern Tulare.
