                                                                                                           Table 28
                                             U. S. Department of Interior - Bureau of Reclamation
                                                     Central Valley Operations Office

Monthly Deliveries in AF                                Sacramento River
                                                               2002
Water Users                    Jan  Feb  Mar     Apr    May    Jun    Jul    Aug    Sep    Oct   Nov   Dec    Total

A&F Boeger Corp & Thunder Farm    0    0    0       0    362    559    588    419      0      0     0     0     1928
Anderson Cottonwood ID            0    0    0    6829  18955  19427  21483  20813  18382   7448     0     0   113337
Andreotti, Arthur, et al          0    0    0     321    483    622    648    559     80      0     0     0     2713
Baber, Jack, et                   0    0    0       0    105    252    492    118      0      0     0     0      967
A&R Farms (Odyesseus)             0    0    0       1     15     45     92     24      4      0     0     0      181
Cannel, Fred                      0    0    0     154    320    181     33     38    170      0     0     0      896
Carter, Jane                      0    0    0       0      0    227    295    185      0    124     0     0      831
Colusa Prop. Inc                  0    0    0       0      0    354    143     37      0     70     0     0      604
Conaway Conservancy Group         0    0    0    1304   9545  10043   6675   5401    700   4493     0     0    38161
Davis, Olive P, et al             0    0    0    3559   5144   6816   7439   4512     83      0     0     0    27553
Deseret Farms of Calif            0    0    0      58    168    258    222     83      0      0     0     0      789
Dommer, Elizabeth                 0    0    0       0      2      2      2      0      2      0     0     0        8
Forry, David G, et al             0    0    0     133    196    358    386    322    120      0     0     0     1515
Forster, Rosemary                 0    0    0      45    624    759    831    638    534      0     0     0     3431
Furlan Joint Venture (Area #1)    0    0    0      32    121     78     93      2      0      0     0     0      326
Furlan Joint Venture (Area #2)    0    0    0       0      0      0      0      0      0      0     0     0        0
Glenn-Colusa ID                   0    0    0  103436 121302 154963 147354 112775  29529  61562     0     0   730921
Griffin, J, et al                 0    0    0     142    498    623    681    303     92      0     0     0     2339
Henle Family Limited Partnersh    0    0    0       0      0     56     29      0      0      0     0     0       85
Hershey Land Co                   0    0    0       0      0      0      0      0      0      0     0     0        0
Hiatt, Glenn                      0    0    0       0    252    220    248     81      0      0     0     0      801
Hollins, Mariette B               0    0    0      65    131    235    263    179     18     10     0     0      901
Howald Farms                      0    0    0     124    239    311    331    270      2      0     0     0     1277
King, Barbara                     0    0    0       0      3      2      2      0      0      0     0     0        7
Knaggs Walnut Ranches Co, L.P.    0    0    0       0     87     68      0      0      0      0     0     0      155
Lockett, William P.               0    0    0       0      0      0      0      0      0      0     0     0        0
Loma Cold Storage/J Micheli       0    0    0     441   1515   1606    180    232      0      0     0     0     3974
M&T Inc.                          0    0    0     264   2405   1839   2028   2037     99   1437     0     0    10109
MCM Properties, Inc               0    0    0       0     59     79     78     22      0      0     0     0      238
Maxwell ID                        0    0    0    1146   2410   1706      0      0      0   2648     0     0     7910
Meridan Farms WC                  0    0    0    2224   5807   6618   7142   5490    629    299     0     0    28209
Natomas Central MWC               0    0    0    5104  19869  21247  21815  13026   6551    416     0     0    88028
O'Brien,  Janice                  0    0    0     229      4    111    181    130      3      0     0     0      658
Oji Bros. Farms Inc               0    0    0      52    576    867    581    332      0      0     0     0     2408
Oji, Mitsue Family PTN            0    0    0     134    689   1207    381    409      0      0     0     0     2820
Pelger Mutual WC                  0    0    0     541   1444   1559   1195    709      0    825     0     0     6273
Pleasant Grove-Verona MWC         0    0    0     799   3576   4143   4278   3418    163    538     0     0    16915
Princeton,-Codora-Glenn ID        0    0    0    7678  10605  12648  13747  10136   2831   5084     0     0    62729
Provident Irrigation District     0    0    0    8233   6130  12635  11465   3315     38   3554     0     0    45370
Reclamation Dist #108             0    0    0   14747  35339  40296  38707  20626   3721   9883     0     0   163319
Reclamation Dist #1004            0    0    0    5502  11856  14845  15104   9213   3555  13930     0     0    74005
Reynen, John, et al               0    0    0     378   1398   1643   1627    866      1    261     0     0     6174
River Garden Farms                0    0    0     146   3649   6097   5684   4180   1382    555     0     0    21693
Roberts Ditch Irrigation Co       0    0    0     408    558    783    981    737    128     54     0     0     3649
Sartain Mutual WC                 0    0    0      38    446    354    404    227      0    196     0     0     1665
Siddiqui, J & A & Siddiqui Fam    0    0    0      23     71     12     58     37     33     49     0     0      283
Spence, Ruth Ann                  0    0    0       0      0      0      0      0      0      0     0     0        0
Sutter Mutual WC                  0    0    0   15717  36609  40489  44184  35167   8039   1290     0     0   181495
Swinford Tract Irrigation Co      0    0    0       0     29     27      6     22      0      0     0     0       84
Tarke, James, et al               0    0    0       0     36     43     37     32      5      0     0     0      153
Tisdale Irrigation & Drain        0    0    0     502   1497   1522   1950   1620    364      0     0     0     7455
Wallace Construction, Inc.        0    0    0     143      0    545    217      0      0      0     0     0      905
Wells, Joyce M                    0    0    0      70    141    311    349    238     23      0     0     0     1132
Wilson Ranch Partnership          0    0    0       0      0      0      0      0      0      0     0     0        0
Windswept Land & Livestock Co.    0    0    0     214    505    374    194      4      0      0     0     0     1291

Total                             0    0    0  180936 305775 370065 360903 258984  77281 114726     0     0  1668670

* Data supplied by Willows Field Division, Water and Land Division (long-form contracts only)
