                                                                                                              TABLE 31
 
                          U.S. DEPARTMENT OF THE INTERIOR - BUREAU OF RECLAMATION
 
                                                  FRIANT-KERN CANAL
 
Monthly Deliveries in AF                                1995
 
WATER USER                    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   TOTAL
 
ALPAUGH I.D.                   0    540    634    200     50   1711   2956   2779    230      0      0      0    9100
ARVIN-EDISON W.S.D.         2490  17467  18184  21924  22499  37805  37041  26605  13534  20315  16737   7415  242016
ATWELL ISLAND W.D.             0    356    403      0      0    967   1955   2416    785    197      0      0    7079
CAWELO W.D.                    0   2000      0      0      0      0      0      0      0      0      0      0    2000
DELANO-EARLIMART I.D.         21    974   1027   6952  14468  26813  29682  21510  11793   8557   5877   1668  129342
EXETER I.D.                    0      4      2    178    743   2717   3512   3749   3377   2277    936    207   17702
FRESNO, CITY OF              869      0      0      0    154      0      0      0  10225   2796    108      0   14152
FRESNO, CO. OF (S.A. 34)       0      0      0     18     33     53     74     66     53     40     15      4     356
FRESNO I.D.                    0  11562  16674    102    525    637    371   6177      0      0      0   1324   37372
GARFIELD W.D.                  0      0    154    196    422    511    669    674    412    320    227     69    3654
HILLS VALLEY I.D.              0      0      0     22     98    597    772    851    610    292    239     60    3541
INTERNATIONAL W.D.             0     65     18      0      0      0    391     86    378    223    159      0    1320
IVANHOE I.D.                   0      0      0      0    240   1846   2835   2639   2983   2397   1343    313   14596
KERN COUNTY WA                 0  12241   6803   9155  27304  33011   7309  13321  20581  12162   8727   2771  153385
KERN-TULARE W.D.               0     85    227    870   1922   4363   5524   4935   3129   1765   1250    719   24789
LEWIS CREEK W.D.               0      0      0      0     33    316    464    467    306     93     40      0    1719
LIBERTY WD                     0   1000      0      0      0      0      0      0      0      0      0      0    1000
LINDMORE I.D.                  0      0      0    832   2254   6505   9020  10008   6584   3901   2367      0   41471
LINDSAY, CITY OF              20      0     11     85    188    224    242    271    233    190    140    125    1729
LINDSAY-STRATHMORE ID         22      0     35    282   1114   3034   3914   4428   3628   2670   1628    334   21089
LOWER TULE RIVER I.D.          0  19027  17636  13806  22375  29298  49977  55561  31639  20262  18518  12369  290468
NORTH-KERN WSD                 0      0      0      0      0   4358   5238    393      0      0      0      0    9989
ORANGE COVE, CITY OF          68      0     67     83    101    129    151    129    133    110     87     73    1131
ORANGE COVE I.D.               0      0      0     92   1315   4771   7156   7479   6016   4044   2245    641   33759
PIXLEY I.D.                    0   2560   1327   3727   3675  10300  13243  13109   7410   4752   1884    294   62281
PORTERVILLE I.D.               0      0      4    568   1751   2030   2157   1893   1056    504     97      8   10068
RAG GULCH W.D.                 0     60    112    594   1550   2316   2405   1965   1379    990    844    271   12486
ROSEDALE RIO BRAVO WD          0      0      0      0    693   5899  12644      0      0      0      0      0   19236
SAUCELITO I.D.                 0     52    538   3311   5386   6567   9231   7835   4641   2395    767    345   41068
SEMITROPIC WSD                 0      0      0      0    574    708   1011    583     36      0      0      0    2912
SHAFTER-WASCO I.D.             0   2056   1831   6470   8548  13119  15208  10503   6058   4780   1945    544   71062
SO. SAN JOAQUIN M.U.D.        76    924   1448   6094  10711  22035  24859  21777  17569   7684   2637    672  116486
SMALLWOOD VINEYARDS            0      0      0     13     59     81    166     95     42     51      0      0     507
STONE CORRAL I.D.              0      0      0     75    242   1334   1909   1970   1396    652    480    103    8161
STRATHMORE PUD                28     30     33     37     40     55     64     65     48     44     35     30     509
STYRO TEK, INC.                0      0      0      1      0      0      1      0      1      0      1      0       4
TEA POT DOME W.D.              0    651      0     67    456    911   1166   1295   1560    685    359     87    7237
TERRA BELLA I.D.              61     48     51    104   1222   2948   3633   3894   3079   2034   1161    313   18548
TRI-VALLEY W.D.                0      0      0      0      2     98    196    127    196    170     32     23     844
TULARE ID                      0  26363   9199   3918  10301  28413   2349  28482   1978   4982      0      0  115985
 
     TOTAL                  3655  98065  76418  79776 141048 256480 259495 258137 163078 112334  70885  30782 1550153
 
*  Data supplied by Fresno Field Division, Contracts Administration Division
