                                                                                                              TABLE 31
 
                                 U.S. DEPARTMENT OF THE INTERIOR - BUREAU OF RECLAMATION
 
                                                  FRIANT-KERN CANAL
 
Monthly Deliveries in AF                                1996
 
WATER USER                    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   TOTAL
 
ALPAUGH I.D.                   0   1375    790    557   1382   2759   2272   3123      0      0      0      0   12258
ARVIN-EDISON W.S.D.        11681  29982  34396  46792  39171  26741   9197  11678  11959  10050   2303    203  234153
ATWELL ISLAND W.D.             0    661    675    477   1162   1450   1280    816      0      0      0      0    6521
DELANO-EARLIMART I.D.        508    771      0  16557  22911  29036  28682  21634  11387   9644   1432      0  142562
EXETER I.D.                   15     42     56    613   2594   3157   3900   3826   2747   1622     21      5   18598
FRESNO, CITY OF               50      0      0      0      0  16777  31706  10097   2288      0      0      0   60918
FRESNO, CO. OF (S.A. 34)       0      0      4     29     46     66     76     75     35     29      7      1     368
FRESNO I.D.                 6494   2745      0    236    403   4118   2417      0  10664    289      0      0   27366
GARFIELD W.D.                  0      0     48    260    578    603    659    564    347    266      0      0    3325
HILLS VALLEY I.D.              0     34      0     14    462    609    738    795    554    345      0      0    3551
INTERNATIONAL W.D.             0      0      0      0    192    450    503    429    272    231      0      0    2077
IVANHOE I.D.                   0      0      0   1249   1113   1938   2471   2528   2486   1655    192      0   13632
KAWAEAH DELTA WCD              0      0   5003      0   1645   1813      0      0      0      0      0      0    8461
KERN COUNTY WA              3137   2244  15581  52581  19890   3002      0      0      0   5961   6130      0  108526
KERN-TULARE W.D.              48    169    539   1486   3540   5018   5639   5211   3052   1710    253    257   26922
LEWIS CREEK W.D.               0      0      0     68    275    474    568    515    301     76      2      0    2279
LINDMORE I.D.                  0      0   1229   2948   5869   8011   9748   9971   6482   4019    426      0   48703
LINDSAY, CITY OF             123     30     28    130    187    226    216    225    225    197    114     33    1734
LINDSAY-STRATHMORE ID        138    114    158   1026   3048   3767   4662   4829   4149   2585    269     48   24793
LOWER TULE RIVER I.D.       1014   7717  15834  25032  38005  38421  44176  24228      0   2752      0      0  197179
NORTH-KERN WSD                 0      0   1193    842      0      0      0      0      0    391      0      0    2426
ORANGE COVE, CITY OF          71     72     89     94    120    155    151    165    127     97    285      0    1426
ORANGE COVE I.D.               0    108      0    329   4486   6196   7651   7286   5415   3401     29      0   34901
PIXLEY I.D.                    0   2999   2477   5721   8698  11203  11932  10971      0      0      0      0   54001
PORTERVILLE I.D.               0     32    137   1457   2673   2630   2867   2388   1015    358      0      0   13557
RAG GULCH W.D.                 0     66     98   1722   1916   2650   2953   1977   1098    374     36     11   12901
ROSEDALE RIO BRAVO WD          0  15646      0  17935      0      0      0      0      0      0      0      0   33581
SAUCELITO I.D.                 0    381   3489   6078   6551   7681   8850   7535   4837   2051     41      0   47494
SEMITROPIC WSD                 0   2400      0      0      0      0      0      0      0      0      0      0    2400
SHAFTER-WASCO I.D.          1212   7096   7694   4706  11151  13503  13425   7566   3267   2588    444     53   72705
SO. SAN JOAQUIN M.U.D.       345   1419   5296  12551  19195  23892  25832  19288   9964   7089    508     28  125407
SMALLWOOD VINEYARDS            0      0      0      0      0      0      0    202      0      0      0      0     202
STONE CORRAL I.D.              0      0      0    112   1154   1727   2072   2038   1125    746      0      0    8974
STRATHMORE PUD                28     21     31     41     62     67     68     73      0     46     32     31     500
STYRO TEK, INC.                0      0      0      1      0      1      0      1      0      1      0      0       4
TEA POT DOME W.D.              0    914     31    268    896   1073   1326   1417    937    702     51      0    7615
TERRA BELLA I.D.              56     42     48    580   2664   3350   4086   4229   3054   1567     60    110   19846
TRI-VALLEY W.D.                0      0      0      0     37     64    141    188    177    179      0      0     786
TULARE ID                      0   2305      0  15957  16467  36175  28841  16813      0      0      0      0  116558
 
     TOTAL                 24920  79385  94924 218449 218543 258803 259105 182681  87964  61021  12635    780 1499210
 
*  Data supplied by Fresno Field Division, Contracts Administration Division
