                                                                                                           TABLE 33
 
                           UNITED STATES DEPARTMENT OF THE INTERIOR - BUREAU OF RECLAMATION
 
                                     SAN JOAQUIN AND MENDOTA POOL
                                                         1993
 
MONTHLY DELIVERIES IN AF
 
       WATER USERS            JAN    FEB    MAR    APR    MAY    JUN     JUL     AUG     SEP    OCT    NOV    DEC   TOTAL
 
BECK GUN CLUB                   0      0      0      0      0       0       0       0      0      0      0      0        0
CENTRAL CALIFORNIA I.D.         0    781  25278  27503  46468   47234   55617   63740  29548  19155  18732  13038   347094
COLE GUN CLUB                   0      0      0      0      0       0       0       0      0      0      0      0        0
COLUMBIA CANAL CO.              0   1771   8600   4987   8111    8678   10427   11633   5111   1490      0      0    60808
FIREBAUGH CANAL CO.           811   1755   3096   3463   4738    6971    5954    6500   2069   2200   3053      0    40610
FOOTHILL W.D.                   0      0      0      0      0       0       0       0      0      0      0      0        0
FRESNO SLOUGH W.D.              0      0      0      0    548     571     481     111    169     45     74    167     2166
GRASSLANDS W.D.                 0      0      0      0   3477       0       0       0      0      0      0      0     3477
HUGHES, MELVIN D&M              0      0     23    107      0      29      15      21      0      0      0      0      195
JAMES I.D.                      0     36      0      0    793    6164    9643    6980   1729    442     68      0    25855
LAGUNA W.D.                     0      0      0      0      0       0     400       0      0      0      0      0      400
MARCHINI BROS. (DUDLEY)         0      0      0    227    193     497     489     218     26      0      0      0     1650
MENDOTA WILDLIFE AREA           0      0      0      0    551    1842    1897    1244   2188   5389   2917   1920    17948
MERCY SPRINGS W.D.              0      0      0      0      0       0       0       0      0      0      0      0        0
MID-VALLEY W.D.                 0      0      0      0      0       0       0       0      0      0      0      0        0
RECLAMATION DIST. 1606          0      0      0      0     19     245      67      94      0      0      0      0      425
SAN LUIS CANAL CO.              0      0  13686  13533  16558   25498   30298   29842  17106   5867   2341   1260   155989
SAN LUIS DRAIN (USBR)           0      0      0      0      0       0       0       0      0      0      0      0        0
SAN LUIS W.D.                   0      0      0      0      0       0       0       0      0      0      0      0        0
TRACTION RNCH (DOUBLE G)        0      0      0    175      0       0       0       0      0      0      0      0      175
TRACTION RNCH(GOODMAN)          0      0      8      0    368     121     284     568    267     66      0      0     1682
TRACTION RNCH(PETERSON)         0      0     37    307    289     451     360     604    613   1000      0      0     3661
TRANQUILITY GUN CLUB            0      0      0      0      0       0       0       0      0      0      0      0        0
TRANQUILITY I.D.                0   1581   1735    870   2344    8649    7625    4350    200     25      0      0    27379
TULLE GUN CLUB                  0      0      0      0      0       0       0       0      0      0      0      0        0
WESTLANDS W.D.                  0      0      0      0      0       0       0     190    124    272    291    575     1452
WILSON, J.W.                    0      0    182      0      0     159      99      12      0      0      0      0      452
ST CA (F&G) (W1011)             0      0      0      0    357       0       0       0      0      0      0      0      357
F&G LOS BANOS W1086             0      0      0      0      0    1438    1480    1160   1964   3071   2561   2865    14539
GRASSLANDS #6106                0      0      0      0      0       0       0       0      0      0      0      0        0
GRASSLANDS #3447A               0      0      0      0      0       0       0       0      0      0      0      0        0
GRASSLANDS #1034                0      0      0      0      0     345       0       0      0      0      0      0      345
GRASSLANDS #1087                0      0      0      0      0    3312    5988    1902  19720  27997   8113   6131    73163
KESTERSON NWR (W0923)           0      0      0      0    555       0       0       0      0      0      0      0      555
F&W NWR (WO1085)                0      0      0      0      0     345    5001     307    879   5415   3989    617    16553
KESTERSON NWR (WO990)           0   3828      0      0      0       0       0       0      0      0      0      0     3828
SAN LUIS NWR (WO990)            0   3364      0      0      0       0       0       0      0      0      0      0     3364
 
 
MONTHLY TOTAL                 811  13116  52645  51172  85369  112549  136125  129476  81713  72434  42139  26573   804122















 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
 
