                                                                                                              TABLE 36
 
                             UNITED STATES DEPARTMENT OF THE INTERIOR -BUREAU OF RECLAMATION
 
                                      TEHAMA-COLUSA CANAL
                                                       1994
 
MONTHLY DELIVERIES IN AF
 
       WATER USERS         JAN     FEB     MAR     APR     MAY     JUN     JUL     AUG     SEP     OCT     NOV     DEC    TOTAL
 
 
COLUSA COUNTY W.D.        172     244    1402    5073    4457    7579    8747    5158    2713    2809       0       0    38354
CORTINA W.D.                0       0      92     122      90     192     190     142      55      29       0       0      912
DAVIS W.D.                  0       0     131     327     681     901     340     233       0       0       0       0     2613
DUNNIGAN W.D.               3       0     334    1086     851    1288    2270    1562     419      81       0       0     7894
ELDER CREEK W.D.            0       0       0       0       0       0       0       0       0       0       0       0        0
FISH FACILITIES             0       0       0       0       0       0       0       0       0       0       0       0        0
4-M WATER DISTRICT          0       0     160     134     202     261     332     303     270      36       0       0     1698
GLENN-COLUSA I.D.           0       0     164     221    5590    8713   12864   36814    2471       0       0       0    66837
GLENN VALLEY W.D.           0       0      45      94     282     271      16       7       0       0       0       0      715
GLIDE W.D.                  0       0     164     494    1019    1590    1902    1587     596     136       0       0     7488
HOLTHOUSE W.D.              0       0     124      98     215     253     253     149      41      30       0       0     1163
KANAWHA I.D.                4       0     750    3619    2380    4206    5011    3407     981     137       0       0    20495
KIRKWOOD W.D.               0       0       0      13      63     195     150     159     130      31       0       0      741
LA GRANGE W.D.              0       0      39      29     749     660     650     588      24      29       0       0     2768
MYERS-MARSH W.D.            0       0       0       0      48      68      24      24       0       0       0       0      164
ORLAND-ARTOIS              13      15     873    2074    2516    4195    6724    6328    3757    1444       0       0    27939
RANCH SAUCOS W.D.           0       0       0       0       0       0       0       0       0       0       0       0        0
RICHFIELD                   0       0       0       0       0       0       0       0       0       0       0       0        0
TEHAMA RANCH M.W.C.         0       0       0       0       0       0       0       0       0       0       0       0        0
TEHAMA W.D.                 0       0       0       0       0       0       0       0       0       0       0       0        0
WESTSIDE W.D.               0      47    1703    3010    4202    6145    4231    2782     870     289       0       0    23279
 
TOTAL                     192     306    5981   16394   23345   36517   43704   59243   12327    5051       0       0   203060
 
*  Data supplied by Willows Field Division, Water and Lands Division
