                                                                                              TABLE 36
 
                             UNITED STATES DEPARTMENT OF THE INTERIOR -BUREAU OF RECLAMATION
 
                                             TEHAMA-COLUSA CANAL
                                                      1995
 
MONTHLY DELIVERIES IN AF
 
       WATER USERS      JAN  FEB   MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV   DEC   TOTAL
 
 
COLUSA COUNTY W.D.      27   38    42   2449   5180   9476  12287   9278   4109   4134   1935   164   49119
CORTINA W.D.             0    0     0    121    172    302    283    262     86     32     18     0    1276
DAVIS W.D.               0    0     0      0     84    291    625    590    112     50     40     0    1792
DUNNIGAN W.D.            0    0     8    621   1173   2383   3073   2257    655    161     85    22   10438
4-M WATER DISTRICT       0    0     3     53    123    459    610    475     80     94     18     0    1915
GLENN-COLUSA I.D.        0  136   580    201  13046   7416  10038  20693   5239   6736      0     0   64085
GLENN VALLEY W.D.        0    0     0    106     73     32    106    101     65     27      1     0     511
GLIDE W.D.               0    0     0    590   1741   2092   3315   2894   1147    329      0     0   12108
HOLTHOUSE W.D.           0    0     0     22     19    181    271    227     24     84      0     0     828
KANAWHA I.D.             0    0     0   2043   2141   5593   6824   5472   2081    212      8    67   24441
KIRKWOOD W.D.            0    0     0      0     10    127    192    169     81     29      4     0     612
LA GRANGE W.D.           0    0     0    100   1078    783    921    938    155     49      0     0    4024
MYERS-MARSH W.D.         0    0     0     67      0     53     80     46      0     14     51     0     311
ORLAND-ARTOIS           11   49    30   1598   4988  10482  12996  12254   6777   2883   1177   286   53531
WESTSIDE W.D.            0    0   140   2136   3935   7882   7870   4307   1337    594    260     0   28461
 
TOTAL                   38  223   803  10107  33763  47552  59491  59963  21948  15428   3597   539  253452
 
*  Data supplied by Willows Field Division, Water and Lands Division
