                                                                                                          Table 37
Bold values indicate a revision was made in Dec 2002.
                                     U.S. Department of Interior - Bureau of Reclamation
                                          Central Valley Operations Office
 
                                          SACRAMENTO RIVER
 
Monthly Deliveries in AF                    1997
 
Water Users               Jan   Feb   Mar   Apr    May     Jun     Jul     Aug     Sep    Oct   Nov  Dec   Total
 
A&F Boeger & Thunder Farm    0     0    0    398     717     585     557     514    201      0    0    0     2972
Anderson Cottonwood ID       0     0    0  11751       0       0       0       0      0      0    0    0    11751
Andreotti, Arthur, et al     0     0    0    169     246     379     299     248      0      0    0    0     1341
Baber, Jack                  0     0    0    295     914     458    1076     813     57      0    0    0     3613
Cannel, Fred                 0     0    0     37     416     145      79       0      0      0    0    0      677
Carter, Jane                 0     0    0    119      67     106     205      48    150      0    0    0      695
Clauss, John Jr.             0     0    0      0     517     479     455     499    112      0    0    0     2062
Colusa Prop. Inc             0     0    0     91     213     224     477      97      0      0    0    0     1102
Conaway Construction Grou    0     0    0      0    8551    9764    6482    4745   1495      0    0    0    31037
Davis, Olive P.              0     0    0   2487    5917    5469    5977    4878    254      0    0    0    24982
Deseret Farms of Calif       0     0    0     53      91     244     266     192      4      0    0    0      850
Dommer, Elizabeth            0     0    0      0       0       3       4       6      0      0    0    0       13
Fargo & Haggerty             0     0    0    140     592     859     956     950    357      0    0    0     3854
Forry, David G.              0     0    0     58     209     247     304     247     60      0    0    0     1125
Furlan Area #1               0     0    0      0       0       0       0       0      0      0    0    0        0
Furlan Area #2               0     0    0      0      75      64      52       0      0      0    0    0      191
Glenn-Colusa ID              0     0    0  78425  121302  118322  125003  100438  21566  32259    0    0   597315
Griffin, J.                  0     0    0    196     492     519     577     250      0      0    0    0     2034
Henle, John R.               0     0    0      0       0      51      54       0      0      0    0    0      105
Hershey Land Co              0     0    0    131     201     138      19       0    344      0    0    0      833
Hiatt, Glenn                 0     0    0     34     157     412     297      70      0      0    0    0      970
Hollins, Mariette            0     0    0    126     248     211     286     157     16      0    0    0     1044
Howald Farms                 0     0    0    290     386     366     271      73     14      0    0    0     1400
King, Barbara                0     0    0      0       0       3       3       7      0      0    0    0       13
Knaggs, Layton               0     0    0      0      92      79      62      62      0      0    0    0      295
Lockett, WilliamP.           0     0    0     87       0       0     149       0      0      0    0    0      236
M&T Inc.                     0     0    0   1120    4348    3106    3102    3123    495      0    0    0    15294
MCM Properties, Inc          0     0    0    108      32      44      67      28      0      0    0    0      279
Maxwell ID                   0     0    0    676    5638    2578    3608    2371    754      0    0    0    15625
Meridan Farms WC             0     0    0   1687    5281    5085    5876    3897    327      0    0    0    22153
Natomas Central MWC          0     0    0   9197   22629   19726   18935   11144   3627      0    0    0    85258
O'Brien,  Janice             0     0    0    319     160     152      98      21      1      0    0    0      751
Odyesseus Farms              0     0    0     73     122      86      61      15      0      0    0    0      357
Oji Bros. Farms Inc          0     0    0    194     388     330     280      96     12      0    0    0     1300
Oji, Masonobu                0     0    0    190     470     402     458     154    363      0    0    0     2037
Pelger Mutual WC             0     0    0    704     563     891     488     465     93      0    0    0     3204
Pleasant-Grove-Verona        0     0    0   1969    3984    3586    4198    2409    604      0    0    0    16750
Premier Partners III         0     0    0    326    1254    1173     179      70      0      0    0    0     3002
Princeton,-Codora            0     0    0   6692   11198   10447   12231    9392    857      0    0    0    50817
Provident Irrigatin          0     0    0   5866    8125   10528   11167    7862    993      0    0    0    44541
Reclamation Dist #108        0     0    0  13072   24572   23986   38310   23952   2903      0    0    0   126795
Reclamation Dist #1004       0     0    0   4160   11568   10255   11433    8586   1224      0    0    0    47226
Regents of University of     0     0    0      0       0       0       0       0      0      0    0    0        0
Reynen, et al                0     0    0    799    1187    1428    1348     973    131      0    0    0     5866
River Garden Farms           0     0    0   2781    6732    6897    7272    4972   1550      0    0    0    30204
Roberts Ditch Irrigation     0     0    0    214     469     446     743     720     61      0    0    0     2653
Sartain Mutual WC            0     0    0    145     617     515     415     361     55      0    0    0     2108
Siddiqui, J & A              0     0    0    124       0     155     144      44      0      0    0    0      467
Spence, Ruth                 0     0    0      0      59      31      27      10     16      0    0    0      143
Sutter Mutual                0     0    0  23838   45992   47331   47598   35150   5386      0    0    0   205295
Swinford Tract Irrigation    0     0    0     22      22      39      26      22      0      0    0    0      131
Tarke, James                 0     0    0    134      52     251      32     131      0      0    0    0      600
Tisdale Irrigation & Drai    0     0    0    303    1285    1268    1602    1289    152      0    0    0     5899
Wallace Construction         0     0    0     34     110     273     247      10      0      0    0    0      674
Wells, Joyce                 0     0    0    136     269     280     379     207     22      0    0    0     1293
Wilson Ranch                 0     0    0      0     173     141      60       0      0      0    0    0      374
 
 
Total                        0     0    0 169770  298702  290557  314294  231768  44256  32259    0    0  1381606
 
* Data supplied by Willows Field Division, Water and Land Division (long-term contracts only)
